,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull some strings,110,0.38,,candy,0.01,cards,0.01,crap,0.02,favors,0.01,grass,0.02,hair,0.01,hairs,0.01,leverage,0.01,magic,0.01,muscle/muscles,0.08,nonsense,0.01,overtime,0.01,punches,0.04,rabbits,0.01,rank,0.05,rope,0.01,stuff,0.01,stunt/stunts,0.05,taffy,0.04,teeth,0.02,thing,0.01,time,0.01,tricks,0.07,weeds,0.05,weight,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull something out of a hat,108,0.60,,ass,0.01,bag,0.10,box,0.05,briefcase,0.01,can,0.01,car,0.02,cloud,0.01,defeat,0.01,desk,0.01,drawer,0.01,gun,0.02,haystack,0.01,hole,0.01,home,0.01,limb,0.01,nowhere,0.01,pie,0.01,pocket,0.05,shelf,0.01,slump,0.01,suitcase,0.01,tailspin,0.01,tree,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull something out of the bag,108,0.06,,air,0.28,back,0.02,barrel,0.01,blue,0.03,box,0.02,car,0.03,crack,0.01,cupboard,0.02,ditch,0.01,drawer,0.02,fire,0.05,flames,0.01,freezer,0.01,game,0.01,garage,0.01,ground,0.02,gutter,0.02,hat,0.16,hole,0.02,lake,0.01,mud,0.02,oven,0.01,pants,0.01,pits,0.01,pocket,0.01,race,0.01,ring,0.01,rough,0.01,shelf,0.01,sky,0.03,socket,0.01,strings,0.01,trash,0.02,water,0.01,way,0.01,weeds,0.01,woodwork,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull the rug out from under her/him/me/us/them,107,0.94,,carpet,0.01,evil,0.01,feet,0.02,nose,0.01,researchers,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push someone's buttons,107,0.34,,along,0.01,around,0.07,away,0.18,back,0.04,car,0.01,cart,0.01,down,0.09,far,0.01,fast,0.01,forward,0.03,hard,0.08,limit/limits,0.06,luck,0.01,out,0.04,over,0.01,patience,0.01,softly,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push your luck,105,0.50,,arms,0.01,baby,0.02,bed,0.01,bicycle,0.02,body,0.01,buttons,0.17,cart,0.03,down,0.01,forward,0.01,idea,0.01,lawnmower,0.01,life,0.01,limit/limits,0.16,motorcycle,0.01,way,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put a damper on it,104,0.34,,backwards,0.01,car,0.01,everything,0.05,fun,0.01,her,0.04,himself,0.01,issue,0.01,life,0.01,parade,0.01,that,0.01,them,0.01,thing/things,0.46,us,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put all one's eggs in one basket,110,0.97,,burrito,0.01,pan,0.01,shell,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put all your cards on the table,108,0.93,,basket,0.01,deck,0.02,floor,0.01,house,0.01,investment,0.01,line,0.01,plate,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put down roots,105,0.14,,animals,0.02,answers,0.01,blocks,0.01,blueprints,0.01,answers,0.01,arms,0.01,bets,0.01,bills,0.01,books,0.01,cards,0.02,carpet,0.02,cash,0.01,cat,0.01,Crime,0.01,deposit,0.01,dirt,0.01,dogs,0.03,eagerly,0.01,enough,0.01,everyone,0.04,everything,0.06,facts,0.01,fast,0.01,feet,0.01,flooring,0.01,food,0.01,foundation,0.01,frank,0.01,friends,0.01,glasses,0.01,goals,0.01,gravel,0.01,hard,0.01,him,0.01,it,0.03,laws,0.01,life,0.01,lines,0.02,money,0.11,Names,0.01,others,0.01,plans,0.01,rubber,0.01,rugs,0.01,rules,0.03,sheets,0.01,sod,0.01,something,0.02,stuff,0.01,swords,0.01,tarps,0.01,torches,0.01,towels,0.01,town,0.01,trees,0.02,words,0.03,work,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put on a brave face,105,0.86,,act,0.01,fight,0.01,front,0.09,heart,0.01,show,0.02,soul,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put one's foot down,100,0.80,,away,0.01,first,0.01,forward,0.02,in,0.02,out,0.06,straight,0.01,still,0.01,up,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put oneself in someone else's shoes,111,0.66,,arms,0.04,bed,0.01,business,0.01,hands,0.02,heart,0.02,lap,0.02,life,0.01,pants,0.01,place,0.14,pocket,0.01,position,0.03,sights,0.01,situation,0.02,way,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put out feelers,103,0.03,,auras,0.01,best,0.01,candles,0.03,candy,0.02,clearly,0.01,coffee,0.01,cookies,0.02,decorations,0.01,drugs,0.01,easily,0.02,everyday,0.01,feelers,0.02,fire/fires,0.33,first,0.01,flames,0.02,flyers,0.03,food,0.05,garbage,0.01,glass,0.01,herself,0.01,lights,0.04,milk,0.03,money,0.02,music,0.01,names,0.01,often,0.03,papers,0.01,pencils,0.01,plane,0.01,plates,0.01,products,0.01,quick,0.01,quickly,0.01,side,0.01,signals,0.01,snacks,0.03,themselves,0.01,trash,0.03,treats,0.01,vibes,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put someone in their place,108,0.87,,bed,0.03,case,0.01,closet,0.01,hand,0.02,head,0.01,room,0.01,shoes,0.03,will,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put someone on the spot,108,0.16,,ambulance,0.01,back,0.01,backburner,0.01,bench,0.03,block,0.03,case,0.01,cat,0.01,chair,0.01,clock,0.01,couch,0.02,cross,0.01,defensive,0.01,edge,0.01,floor,0.01,fritz,0.01,grill,0.01,ground,0.06,gurney,0.01,hook,0.01,lame,0.01,lawn,0.01,line,0.04,list,0.11,moon,0.01,outs,0.01,pedestal,0.06,phone,0.03,plane,0.02,rack,0.01,redeye,0.01,ropes,0.01,shelf,0.03,side,0.01,slab,0.01,stage,0.01,stand,0.05,street,0.02,stretcher,0.02,table,0.03,team,0.03,train,0.04,wall,0.01,wire,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put someone out of their misery,108,0.78,,business,0.01,chair,0.01,depression,0.01,element,0.02,game,0.01,home,0.02,house,0.06,league,0.01,mind,0.06,room,0.01,truck,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put something on the map,104,0.01,,agenda,0.01,back,0.01,backburner,0.06,barbecue,0.01,bible,0.01,bill,0.01,book/books,0.02,burner,0.01,card,0.02,couch,0.01,counter,0.02,desk,0.01,favorite,0.01,fence,0.01,finger,0.03,fire,0.01,fritz,0.01,ground,0.01,house,0.01,line,0.15,list,0.01,mantel,0.01,money,0.01,rack,0.01,record,0.02,road,0.01,roof,0.01,shelf,0.07,side,0.03,stove,0.06,tab,0.05,table,0.26,wall,0.01,web,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put something to bed,100,0.08,,action,0.01,consideration,0.01,court,0.01,dry,0.02,fire,0.01,friends,0.01,hard,0.01,her,0.03,him,0.08,paper,0.01,pasture,0.03,perspective,0.02,rest,0.16,shame,0.01,sleep,0.01,task,0.03,test,0.26,them,0.01,trial,0.01,use,0.04,vote,0.04,work,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put words into someone's mouth,110,0.99,,head,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put your back into it,107,0.88,,grindstone,0.01,ice,0.01,motion,0.02,nothing,0.01,park,0.01,place,0.01,wall,0.02,work,0.02,working,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quake in one's boots,110,0.75,,clogs,0.01,fist,0.01,flops,0.01,head,0.01,mouth,0.01,pants,0.02,shoes,0.12,skin,0.01,sleep,0.03,socks,0.01,sole,0.01,veins,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rack one's brain/brains,105,0.77,,bag,0.01,balls,0.05,card,0.01,clothes,0.01,gun,0.02,head,0.02,husband,0.01,knuckles,0.01,leaves,0.01,mind,0.03,neck,0.01,numbers,0.01,points,0.02,shoulders,0.01,weights,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain on someone's parade,108,0.93,,face,0.02,hat,0.01,head,0.02,sorrow,0.01,shoulder,0.01,word,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rake someone over the coals,110,0.70,,back,0.02,eyes,0.01,edge,0.01,fence,0.02,fire,0.02,floor,0.01,girl,0.01,grater,0.01,grill,0.01,head,0.03,hill,0.03,leaves,0.05,limit,0.01,money,0.01,moon,0.01,others,0.01,sand,0.01,stairs,0.01,top,0.01,vine,0.01,wall,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattle someone's cage,105,0.38,,badly,0.01,behind,0.01,bones,0.05,brain,0.08,chain/chains,0.19,confidence,0.01,conscience,0.01,core,0.01,emotions,0.01,feathers,0.02,good,0.01,head,0.01,inside/insides,0.02,jimmies,0.01,mind,0.02,nerves,0.09,out,0.01,resolve,0.01,senses,0.02,soul,0.01,tail,0.02,toy,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reach the boiling point,108,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read between the lines,104,0.99,,pages,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read someone like a book,110,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read someone's mind,109,0.55,,book,0.12,clearly,0.01,diary,0.05,easily,0.01,emotions,0.01,expression,0.01,eyes,0.01,face,0.06,find,0.01,journal,0.01,lips,0.03,palm,0.01,perfectly,0.01,poems,0.02,right,0.01,rights,0.02,stories,0.01,story,0.01,thoughts,0.02,too,0.01,well,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read too much into it,106,0.77,,emotions,0.01,everything,0.02,her,0.01,offer,0.01,politics,0.01,stuff,0.01,talk,0.01,things,0.13,this,0.01,words,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recharge one's batteries,104,0.83,,body,0.01,drill,0.01,energy,0.02,engine,0.01,mind,0.01,phone,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinvent the wheel,105,0.83,,dance,0.01,formula,0.01,game,0.04,idea,0.01,iron,0.01,people,0.01,rules,0.02,show,0.01,song,0.01,stove,0.02,swing,0.01,thing,0.01,umbrella,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remain nameless,107,0.01,,alert,0.01,anonymous,0.05,behind,0.02,calm,0.23,celebate,0.01,chaste,0.01,close,0.02,consistent,0.01,dead,0.01,empty,0.01,faithful,0.02,firm,0.01,here,0.04,hidden,0.02,home,0.01,hospitalized,0.01,humble,0.01,lost,0.01,loyal,0.02,motionless,0.01,neutral,0.01,quiet,0.06,sad,0.01,silent,0.28,single,0.01,sober,0.01,speechless,0.01,standing,0.01,still,0.05,tense,0.01,there,0.01, true,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest one's case,110,0.08,,arm/arms,0.03,body,0.01,bones,0.01,breasts,0.01,cards,0.01,dogs,0.01,easy,0.01,eyes,0.15,feet,0.07,head,0.51,laurels,0.03,legs,0.02,mind,0.03,soul,0.01,peace,0.01,toe,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise to the bait,105,0.00,,challenge,0.10,fame,0.01,occasion,0.74,stand,0.01,task,0.02,top,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock the boat,110,0.59,,baby,0.02,casbah,0.04,chair,0.01,cradle,0.05,floors,0.01,hall,0.01,house,0.08,joint,0.01,news,0.01,night,0.01,party,0.01,show,0.01,song,0.02,test,0.01,universe,0.01,world,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll out the red carpet,110,0.94,,bed,0.01,convertible,0.01,dice,0.01,sea,0.02,wagon,0.01,zone,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll up one's sleeves,108,0.90,,back,0.01,covers,0.01,eyes,0.01,hair,0.01,joint,0.01,mat,0.02,pants,0.01,rug,0.01,window,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll with the punches,105,0.60,,ball,0.01,best,0.01,blows,0.02,boys,0.01,car,0.01,crowd,0.01,dice,0.03,die,0.01,dough,0.01,flow,0.11,group,0.01,hay,0.01,homies,0.02,pigs,0.02,plan,0.01,shit,0.01,sky,0.01,stones,0.01,storm,0.01,tide,0.02,times,0.02,wind,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rub someone's nose in it,109,0.81,,cream,0.01,dirt,0.09,dirty,0.01,feces,0.01,garbage,0.01,junk,0.01,mud,0.01,piss,0.01,poop,0.02,shit,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run someone ragged,106,0.34,,aground,0.02,around,0.02,away,0.03,booth,0.01,crazy,0.02,credit,0.02,down,0.10,dry,0.04,hard,0.01,home,0.03,life,0.01,mercilessly,0.01,off,0.10,out,0.05,over,0.14,underground,0.01,up,0.01,water,0.01,well,0.01,wild,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run something into the ground,104,0.64,,building,0.01,car,0.01,crowd,0.01,dirt,0.01,ditch,0.01,door,0.01,end,0.02,endzone,0.01,gutter,0.02,lake,0.01,night,0.02,pole,0.01,road,0.01,store,0.01,street,0.03,tree,0.01,wall,0.13,water,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saved by the bell,104,0.96,,clock,0.01,police,0.02,sheriff,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say something behind someone's back,103,0.95,,body,0.01,desk,0.01,chair,0.02,car,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say something under one's breath,107,0.94,,bed,0.01,chair,0.01,fire,0.01,hat,0.01,house,0.01,nose,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scare someone out of their wits,111,0.45,,body,0.01,closet,0.01,gourd,0.02,hole,0.01,home,0.01,house,0.02,life,0.01,mind,0.28,money,0.01,pants,0.13,shoes,0.02,skin,0.03,socks,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scare the living daylights out of her/him/me/them/us,107,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score points with him/her/us/them,103,0.76,,applaud,0.01,boss,0.01,charm,0.03,design,0.01,ease,0.04,flair,0.01,goals,0.01,grace,0.01,gusto,0.01,hits,0.01,it,0.01,luck,0.01,manager,0.01,mom,0.01,pride,0.01,shots,0.01,spelling,0.01,style,0.01,vigor,0.01,wit,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrape the bottom of the barrel,106,0.83,,bowl,0.03,box,0.01,bucket,0.02,ever,0.01,floor,0.01,pan,0.01,plate,0.01,pot,0.02,shoe,0.04,truck,0.01,wheel,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scratch the surface,104,0.67,,back,0.02,board,0.01,books,0.01,card,0.01,cat,0.03,ceiling,0.01,disk,0.01,dog,0.03,door,0.01,earth,0.01,floor,0.01,glass,0.02,ground,0.01,heads,0.01,idea,0.02,itch,0.04,paint,0.02,post,0.02,ticket,0.01,truck,0.01,wall,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See the color of someone's money,103,0.04,,car,0.02,character,0.01,cloth,0.02,clothes,0.02,energy,0.01,envy,0.01,eyes,0.50,face,0.01,fur,0.01,furniture,0.01,hair,0.05,heart/hearts,0.05,house,0.01,love,0.01,manes,0.01,life,0.01,mind,0.01,rainbow,0.01,shirt,0.01,shoes,0.04,skin,0.11,teeth,0.01,ways,0.01,words,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See the light,108,0.53,,bird/birds,0.02,building,0.01,car,0.01,cat,0.01,devil,0.01,dog,0.01,end,0.04,future,0.01,horse,0.01,house,0.01,man,0.01,moon,0.02,movie,0.05,news,0.01,note,0.01,picture,0.01,play,0.01,problem,0.01,results,0.01,show,0.01,sign,0.05,signs,0.05,stars,0.04,stuff,0.01,sun,0.02,trap,0.01,truth,0.01,TV,0.01,writing,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See the light of day,105,0.90,,Christ,0.01,dawn,0.01,dome,0.01,fire,0.01,God,0.02,life,0.01,her,0.01,reason,0.01,sky,0.01,tunnel,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sell like hot cakes,107,0.90,,dogs,0.02,flies,0.01,food,0.01,mess,0.01,momos,0.01,pancakes,0.01,pockets,0.01,potatoes,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sell someone short,103,0.23,,again,0.01,anyways,0.01,away,0.01,bike,0.01,bridges,0.01,bullshit,0.01,candy,0.01,car,0.06,cigarettes,0.01,clearly,0.01,clothes,0.01,cocaine,0.01,cookies,0.01,crack,0.01,dirt,0.01,dreams,0.01,drugs,0.05,fakes,0.01,fast,0.01,furniture,0.01,garbage,0.01,gold,0.02,goods,0.01,guns,0.01,house,0.03,ideas,0.01,jewels,0.01,jewelry,0.01,junk,0.03,lies,0.04,merchandise,0.01,off,0.01,out,0.14,possessions,0.01,propaganda,0.01,puzzles,0.01,ring,0.01,seeds,0.01,shirt,0.01,soul,0.04,story,0.01,stuff,0.02,wallet,0.01,watch,0.01,weed,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
